Train,Test
16003.png,16010.png
16004.png,16020.png
16005.png,20014.png
16006.png,2005.png
16007.png,2015.png
16008.png,21006.png
16009.png,21016.png
16012.png,28010.png
16013.png,28015.png
16014.png,28020.png
16015.png,32014.png
16016.png,33007.png
16017.png,33013.png
16018.png,33018.png
16019.png,34006.png
20006.png,34016.png
20007.png,37006.png
20008.png,37016.png
20009.png,41006.png
20010.png,41016.png
20011.png,
20012.png,
20013.png,
20016.png,
20017.png,
20018.png,
20019.png,
20020.png,
20021.png,
20022.png,
2004.png,
2007.png,
2008.png,
2009.png,
2010.png,
2011.png,
2012.png,
2013.png,
2014.png,
2017.png,
2018.png,
2019.png,
2020.png,
2021.png,
2022.png,
21004.png,
21005.png,
21008.png,
21009.png,
21010.png,
21011.png,
21012.png,
21013.png,
21014.png,
21015.png,
21018.png,
21019.png,
21020.png,
28005.png,
28006.png,
28007.png,
28008.png,
28009.png,
28012.png,
28013.png,
28014.png,
28017.png,
28018.png,
28019.png,
32006.png,
32007.png,
32008.png,
32009.png,
32010.png,
32011.png,
32012.png,
32013.png,
32016.png,
32017.png,
32018.png,
32019.png,
32020.png,
32021.png,
32022.png,
33006.png,
33010.png,
33011.png,
33012.png,
33015.png,
33016.png,
33017.png,
33020.png,
33021.png,
33022.png,
33023.png,
34002.png,
34003.png,
34004.png,
34005.png,
34008.png,
34009.png,
34010.png,
34011.png,
34012.png,
34013.png,
34014.png,
34015.png,
34018.png,
34019.png,
34020.png,
34021.png,
34022.png,
37003.png,
37004.png,
37005.png,
37008.png,
37009.png,
37010.png,
37011.png,
37012.png,
37013.png,
37014.png,
37015.png,
37018.png,
37019.png,
37020.png,
37021.png,
37022.png,
41003.png,
41004.png,
41005.png,
41008.png,
41009.png,
41010.png,
41011.png,
41012.png,
41013.png,
41014.png,
41015.png,
41019.png,
41020.png,
41021.png,
41022.png,
41023.png,
